,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ivan,raquel,,adrián,,soni,,ale,,arturo,,andrés,,nati,,ame,,mariana,,janet,,juan,,tony,luis adrián
,i,Francia,Irak,francia,emp,,Fra ,,Fra ,,fran,,francia,,fra,,fra,,fra,,fra,,fra,,fra,,fra,irak
,i,Noruega,Senegal,noruega,sen,,Sen ,,Sen ,,nor,,empate,,nor,,nor,,nor,,emp,,nor,,emp,,sen,senegal
,j,Jordania,Argelia,argelia,emp,,Emp ,,Jor ,,emp,,argelia,,emp,,jor,,emp,,arg,,arg,,arg,,arg,jordania
mar 23,k,Portugal,Uzbekistán,portugal,port,,Por,,Por ,,port,,portugal,,por,,por,,por,,por,,por,,por,,por,uzbekistán
,l,Inglaterra,Ghana,empate,emp,,Gha ,,Ing ,,ing,,empate,,ing,,ing,,ing,,emp,,ing,,ing,,ing,ghana
,l,Panamá,Croacia,croacia,pan,,Cro ,,Cro ,,emp,,croacia,,cro,,cro,,cro,,cro,,cro,,cro,,cro,croacia
,k,Colombia,Congo,colombia,col,,Emp ,,Cong ,,col,,colombia,,col,,col,,col,,col,,col,,emp,,emp,congo
miér 24,b,Suiza,Canadá,suiza,can,,Can ,,Can ,,suiz,,empate,,emp,,can,,emp,,emp,,can,,suiza,,suiza,canadá
,b,B&H,Catar,catar,cat,,Cat ,,Cat,,emp,,bosnia,,emp,,b&h,,cat,,emp,,B&H,,B&H,,B&H,catar
,c,Escocia,Brasil,brasil,bra,,Bra ,,Bra ,,esc,,brasil,,bra,,bra,,bra,,bra,,bra,,bra,,bra,escocia
,c,Marruecos ,Haití,marruecos,marr,,Emp ,,Mar ,,marr,,marruecos,,mar,,mar,,mar,,marr,,emp,,marr,,hai,marruecos
,a,Chequia,México,empate,mex,,Mex ,,Mex ,,mex,,empate,,mex,,mex,,mex,,mex,,emp,,mex,,mex,méxico
,a,Sudáfrica,Corea,corea,sud,,Emp ,,Cor ,,cor,,corea,,cor,,cor,,cor,,cor,,cor,,cor,,cor,sudáfrica
jue 25,e,Curazao,Costa de Marfil,costa de marfil,cdm,,Cur ,,Cur ,,cdm,,costa de marfil,,cdm,,crz,,cdm,,cdm,,cdm,,crz,,crz,costa de marfil
,e,Ecuador,Alemania,alemania,ale,,Ale ,,Ale,,ale,,alemania,,ale,,ale,,ale,,ale,,ale,,ale,,ale,alemania
,f,Japón,Suecia,empate,jap,,Emp ,,Sue ,,jap,,empate,,sue,,sue,,emp,,jap,,emp,,jap,,jap,japón
,f,Túnez,Países Bajos,paises bajos,emp,,Tun ,,P.b.,,p.b.,,paises bajos,,hol,,pb,,hol,,emp,,pb,,pb,,pb,túnez
,d,Turquía,Estados Unidos,usa,emp,,Tur ,,Usa ,,usa,,empate,,emp,,usa,,usa,,turq,,emp,,usa,,usa,turquía
,d,Paraguay,Australia,empate,par,,Par ,,Aus ,,par,,paraguay,,emp,,aus,,emp,,emp,,emp,,aus,,aus,australia
vie 26,i,Noruega,Francia,francia,fra,,Fra ,,Fra ,,fran,,francia ,,emp,,fra,,emp,,emp,,emp,,fra,,fra,francia
,i,Senegal,Irak,senegal,ira,,Sen ,,Ira ,,emp,,senegal,,sen,,emp,,sen,,sen,,sen,,irak,,sen,senegal
,h,Cabo Verde,Arabia Saudí,cabo verde,cabo,,Emp ,,C.v. ,,cabo,,arabia saudiata,,cabo,,emp,,cabo,,cabo,,cabo,,cabo,,cabo,cabo verde
,h,Uruguay,España,españa,esp,,Uru ,,Esp ,,emp,,españa,,esp,,uru,,esp,,uru,,esp,,uru,,esp,uruguay
,g,Egipto,Irán,iran,emp,,Iran ,,Egip ,,iran,,egipto,,emp,,iran,,emp,,emp,,egip,,irán,,irán,irán
,g,Nueva Zelanda ,Bélgica,belgica,emp,,Bel ,,Bel ,,Belg ,,belgica,,bel,,bel,,bel,,bel,,bel,,bel,,bel,nueva zelanda
sab 27,l,Panamá,Inglaterra,inglaterra,ing,,Ing ,,Ing,,ingl,,inglaterra,,ing,,ing,,ing,,ing,,emp,,ing,,emp,inglaterra
,l,Croacia,Ghana,croacia,emp,,Gha,,Cro,,croa,,croacia,,cro,,cro,,cro,,cro,,cro,,cro,,cro,ghana
,k,Colombia ,Portugal,empate,col,,Por,,Por ,,port,,empate,,emp,,col,,col,,col,,por,,por,,col,portugal
,k,Congo,Uzbekistán,congo,uzb,,Emp ,,Uzb ,,congo,,congo,,emp,,emp,,con,,emp,,con,,con,,con,congo
,j,Argelia,Austria,empate,aus,,Arg,,Aus ,,aus,,argelia,,emp,,aus,,emp,,arg,,aus,,aus,,arg,argelia
,j,Jordania,Argentina,argentina,argt,,Arg ,,Arg,,argt,,argentina,,arg,,arg,,arg,,arg,,arg,,arg,,arg,argentina
